VideoName,ValueExtraversion,ValueAgreeableness,ValueConscientiousness,ValueNeurotisicm,ValueOpenness
04oq2yrBwMg.000.mp4,0.317757009,0.274725275,0.203883495,0.1875,0.366666667
04oq2yrBwMg.001.mp4,0.411214953,0.417582418,0.291262136,0.416666667,0.511111111
04oq2yrBwMg.003.mp4,0.38317757,0.527472527,0.32038835,0.416666667,0.5
04oq2yrBwMg.005.mp4,0.420560748,0.604395604,0.388349515,0.40625,0.555555556
05l5bteT_qA.004.mp4,0.439252336,0.43956044,0.417475728,0.375,0.7
0fMw9o1v2tY.002.mp4,0.280373832,0.351648352,0.330097087,0.333333333,0.355555556
0gv5Z0qt2jc.005.mp4,0.224299065,0.164835165,0.310679612,0.28125,0.366666667
0iQIfGnKflc.001.mp4,0.588785047,0.593406593,0.776699029,0.708333333,0.533333333
0kg6pmbSN6A.001.mp4,0.242990654,0.351648352,0.281553398,0.197916667,0.266666667
0MB91ku0eEw.003.mp4,0.598130841,0.802197802,0.572815534,0.552083333,0.522222222
0mym1CooiTE.002.mp4,0.663551402,0.692307692,0.718446602,0.760416667,0.777777778
0mym1CooiTE.005.mp4,0.598130841,0.67032967,0.660194175,0.697916667,0.611111111
0ObEtA6Q8vU.004.mp4,0.626168224,0.659340659,0.504854369,0.697916667,0.611111111
0SS47KwVOQ4.000.mp4,0.439252336,0.549450549,0.631067961,0.46875,0.511111111
0tse0Fsy_rg.000.mp4,0.23364486,0.32967033,0.27184466,0.260416667,0.366666667
0tse0Fsy_rg.003.mp4,0.392523364,0.384615385,0.281553398,0.375,0.355555556
0u56Q_QmxIM.001.mp4,0.411214953,0.67032967,0.854368932,0.572916667,0.533333333
0VnZngec8sc.002.mp4,0.23364486,0.56043956,0.611650485,0.4375,0.555555556
0VnZngec8sc.004.mp4,0.448598131,0.538461538,0.524271845,0.489583333,0.644444444
0Wr69VD_oXI.004.mp4,0.579439252,0.692307692,0.572815534,0.614583333,0.677777778
0zJcYnsh55g.002.mp4,0.485981308,0.615384615,0.417475728,0.5,0.544444444
0zJcYnsh55g.003.mp4,0.560747664,0.659340659,0.504854369,0.572916667,0.633333333
0ZK5jQAvhFo.004.mp4,0.551401869,0.626373626,0.40776699,0.520833333,0.455555556
12Ezy1y1cWY.004.mp4,0.140186916,0.274725275,0.291262136,0.09375,0.255555556
12lqQE6oPNE.002.mp4,0.710280374,0.659340659,0.466019417,0.614583333,0.577777778
176vWywoq9E.003.mp4,0.364485981,0.56043956,0.330097087,0.354166667,0.522222222
19pTUX8KfYM.004.mp4,0.542056075,0.736263736,0.786407767,0.53125,0.622222222
19pTUX8KfYM.005.mp4,0.579439252,0.648351648,0.805825243,0.697916667,0.666666667
1ajEXdEsJ-k.002.mp4,0.355140187,0.483516484,0.427184466,0.458333333,0.488888889
1dOaM7zWPo8.002.mp4,0.439252336,0.483516484,0.495145631,0.479166667,0.555555556
1-GgVRmAEoo.000.mp4,0.738317757,0.615384615,0.533980583,0.583333333,0.7
1hpZ2ecWqtI.000.mp4,0.710280374,0.604395604,0.388349515,0.489583333,0.511111111
1hpZ2ecWqtI.001.mp4,0.53271028,0.538461538,0.504854369,0.5,0.422222222
1izSTcQI7H4.005.mp4,0.411214953,0.681318681,0.650485437,0.625,0.622222222
1jC4vsQsjwM.000.mp4,0.448598131,0.516483516,0.475728155,0.552083333,0.577777778
1m4WjLRKTwc.000.mp4,0.672897196,0.637362637,0.45631068,0.489583333,0.577777778
1m67onLoRwY.001.mp4,0.327102804,0.406593407,0.475728155,0.458333333,0.611111111
1mdMhaq5p4w.000.mp4,0.420560748,0.736263736,0.475728155,0.510416667,0.577777778
1mHjMNZZvFo.002.mp4,0.607476636,0.692307692,0.786407767,0.6875,0.755555556
1pm5uoU85FI.002.mp4,0.299065421,0.527472527,0.660194175,0.510416667,0.455555556
1pm5uoU85FI.004.mp4,0.448598131,0.527472527,0.504854369,0.4375,0.411111111
1pMNczHCXPc.000.mp4,0.411214953,0.461538462,0.310679612,0.375,0.688888889
1S0SxmfbOus.003.mp4,0.626168224,0.582417582,0.40776699,0.541666667,0.577777778
1sjXuXtx9-E.001.mp4,0.53271028,0.604395604,0.436893204,0.645833333,0.644444444
1sjXuXtx9-E.004.mp4,0.523364486,0.571428571,0.631067961,0.59375,0.7
1tPH6PNeOSk.000.mp4,0.588785047,0.648351648,0.650485437,0.666666667,0.644444444
1tPH6PNeOSk.001.mp4,0.738317757,0.736263736,0.466019417,0.5,0.677777778
1TXS1Zg4wDc.001.mp4,0.579439252,0.527472527,0.45631068,0.510416667,0.666666667
1uC-2TZqplE.001.mp4,0.495327103,0.505494505,0.766990291,0.520833333,0.477777778
1uC-2TZqplE.002.mp4,0.485981308,0.78021978,0.805825243,0.729166667,0.622222222
1uC-2TZqplE.005.mp4,0.224299065,0.43956044,0.631067961,0.458333333,0.444444444
1W7XLdNpEgc.002.mp4,0.495327103,0.615384615,0.572815534,0.541666667,0.6
1XkKu4LBvog.004.mp4,0.401869159,0.67032967,0.504854369,0.520833333,0.711111111
1XkKu4LBvog.005.mp4,0.411214953,0.527472527,0.427184466,0.5,0.611111111
1XqMZQu_pP4.001.mp4,0.551401869,0.406593407,0.669902913,0.572916667,0.544444444
1XqMZQu_pP4.003.mp4,0.373831776,0.461538462,0.504854369,0.364583333,0.511111111
1zpucNpIDk8.000.mp4,0.46728972,0.351648352,0.359223301,0.40625,0.477777778
2_OOIcYfLV0.000.mp4,0.392523364,0.43956044,0.427184466,0.479166667,0.633333333
2c42A4Z7qPE.000.mp4,0.598130841,0.527472527,0.718446602,0.5625,0.733333333
2c42A4Z7qPE.002.mp4,0.663551402,0.67032967,0.67961165,0.666666667,0.722222222
2d6btbaNdfo.001.mp4,0.485981308,0.461538462,0.504854369,0.4375,0.511111111
2d6btbaNdfo.003.mp4,0.429906542,0.549450549,0.572815534,0.416666667,0.533333333
2d6btbaNdfo.005.mp4,0.429906542,0.615384615,0.621359223,0.4375,0.433333333
2DZb5yIc6Fg.004.mp4,0.08411215,0.21978022,0.203883495,0.0625,0.066666667
2DZb5yIc6Fg.005.mp4,0.018691589,0.021978022,0.174757282,0,0.033333333
2fzLibPAtvI.001.mp4,0.570093458,0.56043956,0.689320388,0.604166667,0.611111111
2fzLibPAtvI.002.mp4,0.579439252,0.593406593,0.54368932,0.572916667,0.555555556
2HE6cw3HFPk.004.mp4,0.635514019,0.736263736,0.660194175,0.677083333,0.677777778
2hhqEWiv4eI.003.mp4,0.168224299,0.32967033,0.32038835,0.270833333,0.266666667
2HU92Hfx8Lo.000.mp4,0.728971963,0.747252747,0.699029126,0.697916667,0.733333333
2kqPuht5jTg.001.mp4,0.560747664,0.692307692,0.757281553,0.572916667,0.766666667
2kqPuht5jTg.003.mp4,0.654205607,0.747252747,0.72815534,0.739583333,0.688888889
2-LDYe7OXZU.004.mp4,0.560747664,0.637362637,0.640776699,0.625,0.666666667
2mfmw63l88g.002.mp4,0.205607477,0.43956044,0.446601942,0.28125,0.388888889
2NNYN1ZCJhw.002.mp4,0.626168224,0.615384615,0.621359223,0.6875,0.755555556
2OAA4slRc5M.000.mp4,0.542056075,0.56043956,0.54368932,0.625,0.611111111
2OAA4slRc5M.004.mp4,0.38317757,0.450549451,0.533980583,0.322916667,0.566666667
2oEUp9sGRGk.003.mp4,0.579439252,0.703296703,0.67961165,0.697916667,0.611111111
2oiXF5_gTyk.000.mp4,0.700934579,0.637362637,0.640776699,0.71875,0.755555556
2PSGksTyrnI.002.mp4,0.457943925,0.384615385,0.495145631,0.479166667,0.5
-2qsCrkXdWs.001.mp4,0.476635514,0.593406593,0.572815534,0.604166667,0.611111111
2r5NVi3SZ2I.003.mp4,0.719626168,0.791208791,0.786407767,0.791666667,0.722222222
2rV3Ibtdnvs.001.mp4,0.495327103,0.593406593,0.601941748,0.53125,0.633333333
2rV3Ibtdnvs.002.mp4,0.672897196,0.758241758,0.699029126,0.729166667,0.644444444
2SzC9dm4Yy4.001.mp4,0.53271028,0.505494505,0.504854369,0.510416667,0.611111111
2T3oK1Gse2g.004.mp4,0.654205607,0.637362637,0.485436893,0.572916667,0.633333333
2T3oK1Gse2g.005.mp4,0.61682243,0.615384615,0.466019417,0.552083333,0.711111111
2TMl5EMrdVI.000.mp4,0.355140187,0.505494505,0.524271845,0.395833333,0.288888889
2UqnC_rFcRQ.005.mp4,0.523364486,0.593406593,0.514563107,0.541666667,0.522222222
2UxhlaDEPmI.000.mp4,0.196261682,0.307692308,0.339805825,0.208333333,0.177777778
2WuhWF4fAOQ.005.mp4,0.448598131,0.527472527,0.40776699,0.333333333,0.655555556
2x8GZaBY6TM.000.mp4,0.336448598,0.450549451,0.427184466,0.427083333,0.444444444
2yUnXroXyeI.000.mp4,0.61682243,0.582417582,0.45631068,0.6875,0.7
2yUnXroXyeI.001.mp4,0.457943925,0.450549451,0.485436893,0.510416667,0.633333333
300gK3CnzW0.005.mp4,0.401869159,0.362637363,0.32038835,0.458333333,0.333333333
39BJkEXJpgc.000.mp4,0.336448598,0.450549451,0.650485437,0.520833333,0.377777778
39BJkEXJpgc.004.mp4,0.373831776,0.593406593,0.650485437,0.46875,0.433333333
3AyjQQYmqU4.002.mp4,0.439252336,0.571428571,0.776699029,0.552083333,0.444444444
3gUpRQ22vUs.002.mp4,0.53271028,0.538461538,0.621359223,0.552083333,0.655555556
3GylAjrajHs.005.mp4,0.14953271,0.241758242,0.242718447,0.15625,0.288888889
3HA2W1s4oP8.004.mp4,0.355140187,0.604395604,0.485436893,0.416666667,0.522222222
3hKgh9AB3tk.000.mp4,0.317757009,0.351648352,0.427184466,0.21875,0.333333333
3K16KyiAZHw.000.mp4,0.317757009,0.351648352,0.427184466,0.21875,0.333333333
3K16KyiAZHw.003.mp4,0.317757009,0.351648352,0.427184466,0.21875,0.333333333
3LAaFUSGvsU.000.mp4,0.570093458,0.494505495,0.689320388,0.614583333,0.577777778
3lV-sr3NOUo.000.mp4,0.392523364,0.340659341,0.446601942,0.4375,0.555555556
3lV-sr3NOUo.002.mp4,0.570093458,0.714285714,0.631067961,0.5625,0.633333333
3lV-sr3NOUo.005.mp4,0.411214953,0.549450549,0.485436893,0.40625,0.511111111
3n-QaO3EvPQ.000.mp4,0.46728972,0.549450549,0.611650485,0.364583333,0.555555556
3OoQBXWTGfE.003.mp4,0.186915888,0.186813187,0.213592233,0.375,0.311111111
3orJLMVqWYw.002.mp4,0.644859813,0.549450549,0.174757282,0.447916667,0.611111111
3Q3SB1dVAng.004.mp4,0.336448598,0.582417582,0.621359223,0.3125,0.4
3S72dDIm1fM.003.mp4,0.551401869,0.703296703,0.650485437,0.520833333,0.611111111
3Sj-GZ3YXWs.003.mp4,0.355140187,0.593406593,0.514563107,0.541666667,0.477777778
3taD1fEPfC8.000.mp4,0.299065421,0.406593407,0.45631068,0.520833333,0.366666667
3tPq9fNOXZQ.004.mp4,0.485981308,0.725274725,0.504854369,0.53125,0.655555556
3wgZrRMosvY.000.mp4,0.747663551,0.67032967,0.54368932,0.635416667,0.788888889
3WoXkI06zGk.004.mp4,0.289719626,0.527472527,0.436893204,0.197916667,0.622222222
3wRj39GKLJ0.004.mp4,0.514018692,0.56043956,0.398058252,0.541666667,0.666666667
3yU-7AXnFCM.004.mp4,0.186915888,0.373626374,0.300970874,0.427083333,0.422222222
3zAyM2edy1g.003.mp4,0.373831776,0.615384615,0.533980583,0.489583333,0.411111111
45SH4ohAH3M.004.mp4,0.495327103,0.582417582,0.398058252,0.5,0.566666667
4CiR99jTzso.002.mp4,0.495327103,0.582417582,0.398058252,0.510416667,0.577777778
4JjpfL4y3XM.003.mp4,0.61682243,0.736263736,0.660194175,0.645833333,0.611111111
4JjpfL4y3XM.005.mp4,0.626168224,0.604395604,0.72815534,0.6875,0.677777778
4JYmE9a21aI.001.mp4,0.579439252,0.593406593,0.621359223,0.635416667,0.666666667
-5riMLK-PgU.001.mp4,0.504672897,0.516483516,0.300970874,0.333333333,0.555555556
6otZ7M-Mro.000.mp4,0.551401869,0.615384615,0.72815534,0.59375,0.7
-6otZ7M-Mro.001.mp4,0.46728972,0.769230769,0.699029126,0.572916667,0.7
-6otZ7M-Mro.003.mp4,0.5,0.6,0.8,0.9,0.4
-6otZ7M-Mro.003.mp4,0.710280374,0.681318681,0.72815534,0.552083333,0.666666667
-6otZ7M-Mro.005.mp4,0.523364486,0.626373626,0.72815534,0.635416667,0.6
-8asrRvfJWA.001.mp4,0.485981308,0.483516484,0.582524272,0.5,0.611111111
-8asrRvfJWA.003.mp4,0.448598131,0.472527473,0.446601942,0.364583333,0.477777778
-9BZ8A9U7TE.000.mp4,0.38317757,0.43956044,0.349514563,0.3125,0.477777778
-9BZ8A9U7TE.002.mp4,0.579439252,0.494505495,0.417475728,0.46875,0.544444444
-agCXYgb7pI.000.mp4,0.457943925,0.615384615,0.72815534,0.552083333,0.7
-agCXYgb7pI.001.mp4,0.401869159,0.604395604,0.611650485,0.583333333,0.566666667
-AmMDnVl4s8.001.mp4,0.626168224,0.714285714,0.572815534,0.677083333,0.588888889
-BDSWZIF-WY.000.mp4,0.485981308,0.527472527,0.446601942,0.447916667,0.5
-DOqN0d8KHw.000.mp4,0.61682243,0.813186813,0.563106796,0.625,0.622222222
-fqiCqZtgYs.000.mp4,0.345794393,0.56043956,0.417475728,0.65625,0.622222222
-IK--4uz5ZY.000.mp4,0.579439252,0.604395604,0.67961165,0.5625,0.588888889
-IK--4uz5ZY.003.mp4,0.644859813,0.703296703,0.660194175,0.677083333,0.744444444
-N6QKrbnaDs.002.mp4,0.448598131,0.351648352,0.349514563,0.375,0.577777778
-R2SZu3SYgM.002.mp4,0.317757009,0.175824176,0.194174757,0.260416667,0.411111111
-R2SZu3SYgM.003.mp4,0.261682243,0.296703297,0.213592233,0.322916667,0.388888889
-RhPxhfpg4U.004.mp4,0.448598131,0.67032967,0.669902913,0.59375,0.533333333
-VTqcHNgH7M.001.mp4,0.38317757,0.417582418,0.553398058,0.4375,0.377777778
-VTqcHNgH7M.005.mp4,0.485981308,0.604395604,0.766990291,0.666666667,0.766666667
-wO0oBNlEvY.005.mp4,0.448598131,0.472527473,0.466019417,0.552083333,0.644444444
-Wqk9eex6bQ.001.mp4,0.411214953,0.516483516,0.59223301,0.6875,0.577777778
-zNyDPzId4E.000.mp4,0.570093458,0.571428571,0.446601942,0.510416667,0.733333333
